UNIQUE_WELLBORE_IDENTIFIER,WATER_DEPTH
AO CARANJUMBA-IALWP37,
AO CARANJUMBA-IALWP38,
AO CARANJUMBA-IALWP39,
AO 22-CATCHIMANHA-1,6307.0
TL Kitan 6,350.0
TL Kitan South 1,350.0
NO 30/6-30,120.0
AO CAVALA-1,29.0
AO CHAPEU ARMADO WP18-1A,
AO CHAPEU ARMADO WP18-1B,
AO CHAPEU ARMADO WP18-1C,
AO CHAPEU ARMADO WP18-2,
AO CHAPEU ARMADO WP19-1A,
AO CHAPEU ARMADO WP19-1B,
AO CHAPEU ARMADO WP19-1C,
AO CHAPEU ARMADO WP19-2A,
AO CHAPEU ARMADO WP19-2B,
AO CHAPEU ARMADO WP19-3A,
AO CHAPEU ARMADO WP19-3B,
AO CHAPEU ARMADO-GM75,
AO CHAPEU ARMADO-GM76,
AO CHAPEU ARMADO-GM77,
AO CHAPEU ARMADO-GM78,
AO CHAPEU ARMADO-IALWP13,
AO CHAPEU ARMADO-IALWP14,
AO CHAPEU ARMADO-IALWP82,
AO CHAPEU ARMADO-IALWP86,
AO CHAPEU ARMADO-IALWP88,
AO CHAPEU ARMADO-IALWP89,
AO CHAPEU ARMADO-IALWP90,
AO CHAPEU ARMADO-IALWP91,
AO CHAPEU ARMADO-IALWP92,
AO CHAPEU ARMADO-IALWP93,
AO CHAPEU ARMADO-IALWP94,
AO CHAPEU ARMADO-IALWP95,
AO CHAPEU ARMADO-WPKV-203,
AO CHAPEU ARMADO-WPKV-204,
AO CHAPEU ARMADO-WPKV-205,
AO CHAPEU ARMADO-WPKV-206,
AO CHAPEU ARMADO-WPKV-207,
AO CHAPEU ARMADO-WPKV-208,
AO CHAPEU ARMADO-WPKV-210,
AO CHAPEU ARMADO-WPKV-214,
AO CHAPEU ARMADO-WPKV-216,
AO CHAPEU ARMADO-WPKV-221,
AO CHAPEU ARMADO-WPKV-243,
AO CHAPEU ARMADO-WPKV-244,
AO CHAPEU WPIRS-45,
AO CHAPEU WPIRS-46,
AO CHAPEU WPIRS-50,
AO CHAPEU WPIRS-51,
AO CHAPEU WPIRS-61,
AO CHAPEU WPIRS-65,
AO CHAPEU WPIRS-67,
AO CHAPEU WPIRS-68,
AO CHAPEUARMADO2014,
AO CHIRULO WPRS-11,
AO 01-COQUEIRO-1,3426.0
AO CABECA DA COBRA-12,
AO CABOLEDO 34-MONTAIN D-12,
AO CABOLEDO 34-MONTAIN D-13,
AO CABOLEDO 35-MONTAIN D-14,
AO CABOLEDO 36-MONTAIN D-15,
AO CABOLEDO 37-ROAD D-16,
AO CABOLEDO 39-ROAD D-17,
AO CABOLEDO 40-ROAD D-18,
AO CABOLEDO 41-OUTCROP E-19,
AO CABOLEDO AFTER P.FEXE C-10,
AO CABOLEDO AFTER P.FEXE C-11,
AO CABOLEDO AFTER P.FEXE C-6,
AO CABOLEDO AFTER P.FEXE C-7,
AO CABOLEDO AFTER P.FEXE C-8,
AO CABOLEDO AFTER P.FEXE C-9,
AO CABOLEDO NPF-01,0.0
AO CABOLEDO NPF1-01,0.0
AO CABOLEDO NPF1-02,0.0
AO CABOLEDO NPF2-01,0.0
AO CABOLEDO NPF2-02,0.0
AO CABOLEDO NPF2-03,0.0
AO CABOLEDO NPF2-04,0.0
AO CABOLEDO NPF2-05,0.0
AO CABOLEDO NPF2-06,0.0
AO CABOLEDO NPF3-01,0.0
AO CABOLEDO NPF3-03,0.0
AO CABOLEDO NPF4-01,0.0
AO CABOLEDO PF-01,0.0
AO CABOLEDO PF-02,0.0
AO CABOLEDO PF-03,0.0
AO CABOLEDO PF-04,0.0
AO CABOLEDO PARALLEL ROAD G-20,
AO CABOLEDO PONTAFEXE B-2,
AO CABOLEDO PONTAFEXE B-3,
AO CABOLEDO PONTAFEXE B-4,
AO CABOLEDO PONTAFEXE B-5,
AO CABOLEDO QUEIROZ A-1,
AO CABOLEDO SPF-001,0.0
AO CABOLEDO SPF-002,0.0
AO CABOLEDO SPF-003,0.0
AO CABOLEDO SPF-01,0.0
AO CABOLEDO SPF-02,0.0
AO CABOLEDO SPF-03,0.0
AO CABOLEDO SPF-04,0.0
AO CABOLEDO SPF1-01,0.0
AO CABOLEDO SPF2-01,0.0
AO CABOLEDO SPF2-02,0.0
AO CABOLEDO SPF2-03,0.0
AO CABOLEDO SM1-D,
AO CABOLEDO SM2-A,
AO CABOLEDO SM3,
AO CABOLEDO SM4,
AO CABOLEDO SM6,
AO 02-CACAO-1,82.0
AO CACUACO-4,
AO CALAFATE-1,41.0
AO CAMARAO EAST-1,5.0
AO CHAPEU ARMADO-HMBWP44,
AO CHAPEU ARMADO-HMBWP51,
AO CHAPEU ARMADO-IRSWP21,
AO CHAPEU ARMADO-IRSWP23,
AO CHAPEU ARMADO-IRSWP25,
AO CHAPEU ARMADO-IRSWP26,
AO CHAPEU ARMADO-IRSWP27,
AO CHAPEU NORTH-IRSWP4,
AO CHOPA-2,9.0
AO DENDA-2,
AO 39-DILOLO-1,1784.2
AO DSDP 40-364,2448.0
AO DSDP 40-365,3018.0
NO 6507/2-6,
GB 29/03c- 10,320.7
AO ELEFANTES BAY DJ-37,
AO ELEFANTES BAY DJ-38,
AO ELEFANTES BAY DJ-40,
AO ELEFANTES BAY DJ-44,
AO ELEFANTES E BS-68,
AO ELEFANTES E BS-93,
AO ELEFANTES SSW BS-39,
AO ELEFANTES SSW BS-42,
AO EQUIMINA2014,
AO ESPADARTE NORTH-1,
AO ENGUIA SOUTH-1,26.0
AO ESPADARTE-5,20.0
AO ESSUNGO-2,24.0
AO ESSUNGO A-3,25.0
AO ESSUNGO B-1,25.0
AO ESTRELA-1,20.0
AO F1,
AO FUNDA-3,
AO GAIO-IALWP15,
AO GAIO-IALWP16,
AO GAIO-IALWP17,
AO GAIO-IALWP18,
AO GAIO-IALWP19,
AO GAIO-IALWP20,
AO GAIO-IALWP21,
AO GAIO-IALWP22,
AO GAIO-IALWP23,
AO GAIO-IALWP24,
AO GAIO-IALWP25,
AO GAIO-IALWP26,
AO GEOMAGO-000029,
AO GEOMAGO-000030,
AO GEOMAGO-000031,
BR 1-BRSA-1318-ES,
AU Narkarino 1,
AU Narlingue 1,
AO 34-N'DEMBA-1,1732.0
AO 34-N'GANDU-1,
AO 4-26-1AT,75.0
NO 33/12-B-39 C,144.5
AO 60-9,
AO 69-2,
AO 95-4,
AO 97-1,15.0
AO A-1,
AO 03-ALCE-1,3992.0
AO 02-ATUM EAST-1,29.0
AO 02-ATUM-1,41.0
AO ALBACORE-1,14.0
AO BERO WPKV-222,
AO BERO WPKV-224,
AO BERO WPKV-225,
AO BERO WPKV-226,
AO BERO WPKV-230,
AO BERO WPKV-231,
AO BERO WPKV-232,
AO BERO-GM46,
AO BERO-GM47,
AO BERO-GM48,
AO BERO-GM49,
AO BERO-GM50,
AO BERO-GM51,
AO BERO-GM52,
AO BERO-GM53,
AO BERO-GM54,
AO BERO-GM55,
AO BERO-GM56,
AO BERO-GM57,
AO BERO-GM58,
AO BERO-GM59,
AO BERO-GM60,
AO BERO-GM61,
AO BERO-GM62,
AO BERO-GM63,
AO BERO-GM64,
AO BERO-GM65,
AO BERO-GM84,
AU North Yardanogo 1,
AU North Yardarino 1,
AO OUTCROP-AGO-000208,
AO OOMBO-1,102.0
AO PC--ADW007,
AO PC--ADW037,
AO PC--ADW055,
AO PC--ADW056A,
AO PC--ADW056B,
AO PC--ADW061,
AO PC--ADW064,
AO PC--ADW066,
AO PC--ADW074,
AO PC--ADW085,
AO PC--ADW105A,
AO PC--ADW105B,
AO PC--ADW130,
AO PC--ADW134,
AO PC--ADW178,
AO PC--ADW195,
AO PC--ADW206A,
AO PC--ADW206B,
AO PC--ADW207A,
AO PC--ADW207B,
AO PC--ADW208A,
AO PC--ADW208B,
AO PC--AUD010S,
AO PC--AUD011,
AO PC--AUD015,
AO PC--AUD025,
AO PC--AUD029,
AO PC--AUD030,
AO PC--AUD034,
AO PC--AUD041,
AO PC--AUD044,
AO PC--AUD045,
AO PC--AUD047,
AO PC--AUD048,
AO PC--AUD049,
AO PC--AUD053,
AO PC--AUD054,
AO PC--AUD057,
AO PC--AUD061,
AO PC--AUD063,
AO PC--AUD064,
AO PC--AUD068,
AO PC--AUD069A,
AO PC--AUD086A,
AO PC--AUD107,
AO PC--AUD116,
AO PC--AUD140,
AO INAMANGUANDO WPIRS-106,
AO INAMANGUANDO WPIRS-109,
AO INAMANGUANDO WPIRS-110,
AO INAMANGUANDO WPIRS-98,
AO INAMANGUANDO WPIRS-99,
AO IRSWP11-SUMBE CASA BLANCA,
AO IRSWP14-SUMBE CASA BLANCA SB,
AO IRSWP15-LOBITO EAST,
AO IRSWP247-CASA BLANCA BEACH,
AO IRSWP252-DOMBE GRANDE WEST,
AO IRSWP253-BENGUELA LUCIRA ROAD,
AO IRSWP261-BERO,
AO IRSWP275-LUBANGO NAMIBE ROAD,
AO IRSWP282-PIAMBO,
AO IRSWP284-PIAMBO,
AO IRSWP307-LUBANGO NAMIBE ROAD,
AO IRSWP311-BENGUELA LUCIRA,
AO IRSWP321-PIAMBO NORTH,
AO IRSWP322-PIAMBO NORTH,
AO IRSWP333-DAMBA DO CONGULO,
AO IRSWP336-DAMBA DO CONGULO,
AO IRSWP340-DAMBA DO CONGULO,
AO IRSWP341-DAMBA DO CONGULO,
AO IRSWP343-BERO SOUTH SIDE,
AO IRSWP346-CANGULO,
AO IRSWP347-CANGULO,
AO IRSWP349-PONTE NEGRA,
AO IRSWP350-PONTE NEGRA,
AO IRSWP353-CARAN INUAMA,
AO IRSWP39-CANICO NAMIBE,
AO IRSWP41-CANICO NAMIBE,
AO IRSWP51B-BAIA DOS ELEFANTES,
AO IRSWP60-DOMBE GRANDE EAST,
AO IRSWP61-DOMBE GRANDE EAST,
AO IMPALA-1,56.0
AO IMPALA SOUTHEAST-101,65.0
AO 38-JACARE-1,1451.0
AO 09-JAMBO-1,59.0
AO 03-KAUMBA-1,125.0
AO KWANZA 38-11,
AO KWANZA 38-12,
AO KWANZA 38-2,
AO KWANZA 38-3,
AO KWANZA 38-4,
AO KWANZA 38-5,
AO KWANZA 38-8,
AO KWANZA 38-9,
AO KWANZA 39 DIL WELL CEN,
AO KWANZA 39 DIL WELL NOR,
AO KWANZA 39 DIL WELL SOU,
AO KWANZA 39-1,
AO KWANZA 39-11,
AO KWANZA 39-22,
AO KWANZA MUD VOLCANO,
AO KALI 95-3,35.0
AO KUNGULO 71-02,40.0
AO LGC-TUMBALUNDA,
AO LGWP84-MARIQUITA VALLEY,
AO LGWP87-MARIQUITA VALLEY,
AO 01-LIMOEIRO-1,4554.0
AO 22-LOCOSSO-1,3119.0
AO 22-LOCOSSO-1ST1,3119.0
AO 05-LONZO-1,2774.9
AO LUCIRA WPIRS-89,
AO LUCIRA WPIRS-92,
AO LUCIRA-IALWP28,
AO LUCIRA-IALWP29,
AO LUCIRA-IALWP30,
AO LUCIRA-IALWP31,
AO LUCIRA-IALWP32,
AO LEGUA-1,
AO LIMBA 84-21,25.0
AO LIVUITE OIL 132-4,24.0
AO LOMBO EAST-1,40.0
AO LUANDA-10,
AO LUANGO-2,
AO LUCIRA-IRSWP13,
AO LUCIRA-IRSWP15,
AO LUCIRA-IRSWP16,
AO LUCIRA-IRSWP17,
AO LUCIRA-IRSWP18,
AO LUCIRA-IRSWP19,
AO LUMUENO-17,
AO M'BILI 130-1,55.0
AO 01-MABOQUEIRO-1,2970.0
AO 01-MACIEIRA-1,89.0
AO 01-MAMOEIRO-1,
AO MANGUARI-GM86,
AO MANGUARI-GM87,
AO MANGUARI-GM88,
AO MANOME-GM71,
AO MANOME-GM72,
AO MANOME-GM73,
AO MANOME-GM74,
AO MARAQUITA WPIRS-10,
AO MARAQUITA WPIRS-11,
AO MARAQUITA WPIRS-14,
AO MARAQUITA WPIRS-16,
AO MARAQUITA WPIRS-17,
AO MARAQUITA WPIRS-18,
AO MARAQUITA WPIRS-21,
AO MARAQUITA WPIRS-22,
AO MARAQUITA WPIRS-26,
AO MARAQUITA WPIRS-30,
AO MARAQUITA WPIRS-31,
AO MARAQUITA WPIRS-33,
AO MARAQUITA WPIRS-35,
AO MARAQUITA WPIRS-38,
AO MARAQUITA WPIRS-7,
AO MARAQUITA WPIRS-8,
AO MARAQUITA-GM82A,
AO MARAQUITA-GM83,
AO MARAQUITA-IRSWP32,
AO MARAQUITA-LEO WPKV-125,
AO MARAQUITA-LEO WPKV-126,
AO MARAQUITA-LEO WPKV-127,
AO MARAQUITA-LEO WPKV-129,
AO MARAQUITA-LEO WPKV-131,
AO MARAQUITA-LEO WPKV-133,
AO MARAQUITA-LEO WPKV-135,
AO MARAQUITA-LEO WPKV-136,
AO MARAQUITA-LEO WPKV-137,
AO MARAQUITA-LEO WPKV-140,
AO MARAQUITA-LEO WPKV-144,
AO MARAQUITA-LEO WPKV-149,
AO MARAQUITA-LEO WPKV-150,
AO MARAQUITA-MF77,
AO MARAQUITA-MF85,
AO MARAQUITA-POOL WPKV-198,
AO MARAQUITA-POOL WPKV-199,
AO MARAQUITA-POOL WPKV-201,
AO MARAQUITA-POOL WPKV-P1,
AO MARAQUITA-POOL WPKV-P2,
AO MARAQUITA-RIVER WPKV-246,
AO MARAQUITA-RIVER WPKV-247,
AO MARAQUITA-RIVER WPKV-249,
AO MARAQUITA-RIVER WPKV-250,
AO MARAQUITA-THE FROG WPKV-154,
AO MARAQUITA-THE FROG WPKV-155,
AO MARAQUITA-THE FROG WPKV-156,
AO MARAQUITA-THE FROG WPKV-159,
AO MARAQUITA-THE FROG WPKV-160,
AO MARAQUITA-THE FROG WPKV-163,
AO MARAQUITA-THE FROG WPKV-172,
AO MARAQUITA-THE FROG WPKV-177,
AO MARAQUITA-THE FROG WPKV-178,
AO MARAQUITA-THE FROG WPKV-181,
AO MARAQUITA-THE FROG WPKV-183,
AO MARAQUITA-THE FROG WPKV-184,
AO MARAQUITA-THE FROG WPKV-185,
AO MARAQUITA-THE FROG WPKV-188,
AO MARAQUITA-THE FROG WPKV-189,
AO MARAQUITA-THE FROG WPKV-190,
AO MARAQUITA-THE FROG WPKV-191,
AO MARIQUITA WPRS-52,
AO MARIQUITA WPRS-70,
AO MARIQUITA-IALWP72,
AO MARIQUITA-IALWP73,
AO MARIQUITA2014,
AO MARQUITA-MF102,
AO MARQUITA-MF104,
AO MARQUITA-MF116,
AO MARQUITA-MF137,
AO MARQUITA-MF138,
AO MARQUITA-MF147,
AO MARQUITA-MF148,
AO MARQUITA-MF161,
AO MAVANGA-3,35.0
AO 05-MAVUNGA-1,1900.0
AO 05-MUAMBA-1,2270.2
AO 05-MULEMBU-1,1841.0
AO 01-MUSSANGA-1,
AO 09-MABOQUE-1,107.0
AO MALONGO NORTH 59-6,17.0
AO MALONGO NORTH 73-16,15.0
AO MALONGO NORTH 73-67,19.0
AO MALONGO SOUTH 72-23,10.0
AO MALONGO SOUTH 73-09,10.0
AO MALONGO SOUTH 73-53,11.0
AO MALONGO WEST 72-09,25.0
AO MALONGO WEST 72-18,25.0
AO MALONGO WEST 72-22,27.0
AO MALONGO WEST 72-31,27.0
AO MALONGO WEST 72-40,26.0
AO MALONGO WEST 72-46,29.0
AO MALONGO WEST 72-48,25.0
AO MALONGO WEST 84-14,25.0
AO MULENVOS NORTH-3,
AO N'DOLA 117-4,81.0
AO N'SANGUI 55-1,83.0
AO N'TENE 139-1ST1,122.0
AO N'ZOMBO-27,
AO N'ZOMBO-38,
AO NAMIBE BERO 11-9,
AO NAMIBE BERO 14-3,
AO NAMIBE BERO 14-4,
AO NAMIBE BERO 14-7,
AO NAMIBE BERO 14-8,
AO NAMIBE BERO V-1,0.0
AO NAMIBE CHAPEU ARMANDO 10-7,
AO NAMIBE CHAPEU ARMANDO 10-9,
AO NAMIBE CHAPEU ARMANDO 12-3,
AO NAMIBE INAMAUANGANDO,
AO NAMIBE MAPUNGO 1-2,
AO NAMIBE MAPUNGO 1-6,
AO NAMIBE MAPUNGO 1-7,
AO NAMIBE MAPUNGO 1-8,
AO NAMIBE MAPUNGO 2-2,
AO NAMIBE MAPUNGO 2-4,
AO NAMIBE MAPUNGO S 4-3,
AO NAMIBE MAPUNGO S 4-8,
AO NAMIBE PIAMBO BEACH 6-5,
AO NAMIBE PIAMBO GQ 5-7,
AO NAMIBE PIAMBO V-3,0.0
AO NAMIBE PIAMBO V-5,0.0
AO NAMIBE V-2,0.0
AO NAMIBE V-4,0.0
AO NUMBI D-05,40.0
GB 23/26a- 2R,199.0
AO ODP 175-1078-A,427.2
AO ODP 175-1078-B,426.1
AO ODP 175-1078-C,426.0
AO ODP 175-1078-D,427.4
NO 15/3-1 ST2,109.0
AO ODP 175-1079-B,738.2
AO ODP 175-1079-C,737.9
AO ODP 175-1080-A,2765.8
AO ODP 175-1080-B,2767.9
AO ODP 175-1079-A,737.9
GB 211/14- 1 ST2,529.0
NO 31/2-P-23 BY3H,337.6
NO 15/9-U-11,100.0
TT PC--TRD052,
TT PC--TRD055,
TT PC--TRD074,
TT PC--TRD087,
TT PC--TRD092,
TT PC--TRD097,
TT PC--TRD098,
TT PC--TRD102,
TT PC--TRD103,
TT PC--TRD107,
TT PC--TRD120,
TT PC--TRD123,
TT PC--TRD124,
TT PC--TRD125,
TT PC--TRD127,
AO 01-PEREIRA-1,2900.0
AO PIAMBO NORTH-IRSWP29,
AO PIAMBO-GM81,
AO PIAMBO-GM82,
AO PIAMBO-GMWP44,
AO PIAMBO-GMWP45,
AO PIAMBO-HMBWP130,
AO PIAMBO-IALWP100,
AO PIAMBO-IALWP101,
AO PIAMBO-IALWP102,
AO PIAMBO-IALWP104,
AO PIAMBO-IALWP106,
AO PIAMBO-IALWP109,
AO PIAMBO-IALWP74,
AO PIAMBO-IALWP75,
AO PIAMBO-IALWP76,
AO PIAMBO-IALWP78,
AO PIAMBO-IALWP79,
AO PIAMBO-IALWP8,
AO PIAMBO-IALWP80,
AO PIAMBO-IALWP81,
AO PIAMBO-IALWP96,
AO PIAMBO-IALWP97,
AO PIAMBO-IALWP98,
AO PIAMBO2014,
AO PONTA NEGRA-GM79,
AO PONTA NEGRA-GM80,
AR Cerro Grande 148,
AR Cerro Tortuga 004,
AR Cerro Tortuga 089,
AR Cerro Tortuga 090,
AR Cerro Tortuga 091,
AR Cerro Wenceslao 0004,
AR Cerro Wenceslao 1027,
AR Cerro Wenceslao 1054,
AR Charco Bayo 001,
AR Charco Bayo 003,
AR Charco Bayo 023,
AR Charco Bayo 043,
AR Charco Bayo 064,
AR Charco Bayo 085,
AR Charco Bayo 134,
AR Charco Bayo 147,
AR Charco Bayo 151,
AR Ciclon 1,98.0
AR Colhue Huapi 17,
AR DA-253,
AR DSDP 36-326,3812.0
AR Del Lindero 1,
AR Diadema G 064,
AR Diadema G 074,
AR Diadema L 056,
AR EAST OF CERRO CANDELERO1,
AR EAST OF CERRO CANDELERO2,
AR EAST OF CERRO CANDELERO3,
AR EAST OF CERRO CANDELERO4,
AR EAST OF CERRO CANDELERO5,
AR EAST OF CERRO CANDELERO6,
AR EAST OF CERRO CANDELERO7,
AR EL TOKI,
AR El Bisco 1,
AR El Caracol 04,
AR El Caracol 20,
AR El Caracol 21I,
AR El Jefe 1,
AR El Medanito 2001,
AR El Medanito 2013,
AR El Medanito 2018,
AR El Medanito 2034,
AO PONTA NEGRA-IALWP111,
AO PONTA NEGRA-IALWP113,
AO PONTA NEGRA-IALWP114,
AO PONTA NEGRA-IALWP115,
AO PONTA NEGRA-IALWP116,
AO PONTANEGRA2014,
AO 07-PORCELANA-1,28.0
AO 03-PACASSA-1,113.0
AO PACASSA-2,86.0
AO PACASSA-101,86.0
AO 03-PALANCA-1,45.0
AO PALANCA-3,48.0
AO PALANCA-201,45.0
AO PIAMBO RIVER VALLEY-IRSWP12,
AO PINDA-1,
AO 02-POLVO-1,36.3
AO 03-QUIBELE-1,2558.4963
AO 01-QUILUMA-2,3813.0
AO 01-QUILUMA-1,3810.0
AO QUENGUELA NORTH-10,
AO QUIFUMA-1,
AO QUINFUQUENA-4,
AO QUINGUILA-22,
AO RAIA-1,21.0
AO ROSA-3LEG2,1363.0
AO 01-SAFUEIRO WEST-1,47.0
AO 02-SALMAO NORTH-1,
AO 01-SAPESAPEIRO-1,3363.0
AO 02-SARDA-1,28.0
AO SEEP-AGO-000048,
AO SEEP-AGO-000049,
AO SEEP-AGO-000051,
AO SEEP-AGO-000052,
AO SANHA 117-3,71.0
AO SANZAMO 136-1,119.0
AO SAVELHA-1,19.5
AO SAVELHA-2,20.0
AO SEREIA-1,
AO SULELE SOUTH B-1,37.0
AU Rakrani 1,
AU Red Gully 1,
AU Redback 1,
AO SULELE WEST-2,33.0
AO TUMBALUNDA WPRS-24,
AO TOBIAS-6,
AO TUBARAO-1,39.0
AO 02-VELEIRO-1,
AO VELEIRO-2H,
AO VANZA 80-1,116.0
AO WAMBA A-04,65.0
AO ZANGO-5,
AQ DSDP 28-268,3529.0
AQ DSDP 28-270,633.0
AQ DSDP 28-271,562.0
AQ DSDP 28-272,619.0
AQ DSDP 28-273,491.0
AQ DSDP 28-273-A,491.0
AQ DSDP 28-274,3305.0
AQ DSDP 35-324,4433.0
AQ DSDP 35-325,3748.0
AQ IODP 318-U1355-A,3729.0
AQ IODP 318-U1356-A,4003.0
AQ IODP 318-U1357-A,1026.0
AQ IODP 318-U1357-B,1028.0
AQ IODP 318-U1357-C,1028.0
AQ IODP 318-U1358-A,499.0
AQ IODP 318-U1358-B,512.0
AQ IODP 318-U1359-A,3021.0
AQ IODP 318-U1359-B,3019.0
AQ IODP 318-U1359-C,3022.0
AQ IODP 318-U1359-D,3023.0
AQ IODP 318-U1360-A,506.0
AQ IODP 318-U1361-A,3466.0
AQ IODP 318-U1361-B,3466.0
AQ ODP 113-691-A,3035.0
AQ ODP 113-691-B,3038.0
AQ ODP 113-691-C,3025.0
AQ ODP 113-692-A,2880.0
AQ ODP 113-692-B,2875.0
AQ ODP 113-693-A,2359.0
AQ ODP 113-693-B,2359.0
AQ ODP 113-695-A,1300.1
AQ ODP 113-696-A,650.0
AQ ODP 113-696-B,650.0
AQ ODP 113-697-A,3480.0
AQ ODP 113-697-B,3480.0
AQ ODP 119-738-A,2253.0
AU Redback 2,
AU Redback South 1,
AU Redhill South 1,
AU Robb 1,
AQ ODP 119-738-B,2252.5
AQ ODP 119-738-C,2253.0
AQ ODP 119-739-A,412.4
AQ ODP 119-739-B,412.0
AQ ODP 119-739-C,412.0
AQ ODP 119-740-A,807.5
AQ ODP 119-740-B,814.0
AQ ODP 119-741-A,551.4
AQ ODP 119-742-A,415.7
AQ ODP 119-743-A,998.7
AQ ODP 178-1095-A,3841.6
AQ ODP 178-1095-B,3841.6
AQ ODP 178-1095-C,3841.6
AQ ODP 178-1095-D,3840.9
AQ ODP 178-1096-A,3152.0
AQ ODP 178-1096-B,3152.5
AQ ODP 178-1096-C,3152.5
AQ ODP 178-1097-A,551.7
AQ ODP 178-1098-A,1012.0
AQ ODP 178-1098-B,1010.6
AQ ODP 178-1098-C,1010.4
AQ ODP 178-1099-A,1399.8
AQ ODP 178-1099-B,1400.0
AQ ODP 178-1100-A,458.6
AQ ODP 178-1100-B,458.6
AQ ODP 178-1100-C,458.6
AQ ODP 178-1100-D,458.6
AQ ODP 178-1101-A,3279.7
AQ ODP 178-1102-A,430.5
AQ ODP 178-1102-B,430.5
AQ ODP 178-1102-C,430.5
AQ ODP 178-1102-D,430.5
AQ ODP 178-1103-A,493.5
AQ ODP 188-1165-A,3537.0
AQ ODP 188-1165-B,3537.6
AQ ODP 188-1165-C,3538.0
AQ ODP 188-1166-A,475.4
AQ ODP 188-1166-B,475.0
AQ ODP 188-1167-A,1639.9
AQ ODP 188-1167-B,1639.9
AR 14/09-1,
AR A-22,
AR A-77,
AR ADC-47,
AR ALAIN10,
AR ALAIN11,
AR ALAIN12,
AR ALAIN1A,
AR ALAIN1B,
AR ALAIN2A,
AR ALAIN2B,
AR ALAIN2C,
AR ALAIN3,
AR ALAIN4,
AR ALAIN5,
AR ALAIN6,
AR ALAIN7,
AR ALAIN8,
AR ALAIN9,
AR ARROYO CHACAY,
AR ARROYO MULICHICO1,
AR ARROYO MULICHICO2,
AR ARROYO MULICHINCO3,
AR ARROYO MULICHINCO4,
AR ARROYO MULICHINCO6,
AR ARROYO MULICHINCO7,
AR ARROYO MULICHINCO8,
AR ARROYO MULICHINCO9,
AR AUCA MAHUIDA,
AR AUQUINCO MINE,
AR Agua del Cajon 0001,
AR Agua del Cajon 0002,
AR Agua del Cajon 0042,
AR Alto de la Sierra 1,
AR An Aike 01,
AR Arroyo Candelaria Sur 1,
AR Arroyo Gamma Sur 1,
AR B-32,
AR BARDAS BLANCAS,
AR Bajo Barda Gonzalez 0001,
AR Bajo del Palenque 1,
AR CAJON ALMANZA,
AR CERRO GRASA,
AR CERRO LA PARVA1,
AR CERRO LA PARVA2,
AR CERRO LEON CANDELERO,
AR CERRO LOTENA1,
AR CERRO LOTENA2,
AR CERRO MULA,
AR CHACAY MELEHUE,
AR CHORRIACA1,
AR CHORRIACA2,
AR CL-3006,
AR CL-3007,
AR CL-3047,
AU 2007834005,
AU Acrasia 3,
AU Acrasia 4,
AU Acrasia 5,
AR CL-4072,
AR CURACO1,
AR CURACO2,
AR Caimancito 02,
AR Caimancito 23,
AR Caimancito 30,
AR Campo Boleadoras 0007ST,
AR Campo Boleadoras 0010HST,
AR Campo Indio 09,
AR Campo Indio 12,
AR Campo Indio 17,
AR Canada Represa Catena 2,
AR Canadon Leon 1454,
AR Canadon Leon 1932,
AR Canadon Leon 1935,
AR Canadon Leon 3001,
AR Canadon Leon 3026,
AR Canadon Minerales 0001,
AR Canadon Minerales 0003,
AR Canadon Minerales 0202,
AR Canadon Minerales 1001,
AR Canadon Minerales 3033,
AR Canadon Seco 0161,
AR Canadon Seco 0650,
AR Canadon Seco 0864,
AR Canadon Seco 0975,
AR Canadon Seco 2125,
AR Catriel Oeste 0093,
AR Catriel Oeste 0177,
AR Catriel Oeste 0187,
AR Catriel Oeste 0204,
AR Catriel Oeste 0253,
AR Centenario 0047,
AR Centenario 0052,
AR Centenario 0064,
AR Centenario 0070,
AR Centenario 0103,
AR Centenario 1013,
AR Centenario 1023,
AR Cerro Convento 01,
AR Cerro Grande 009,
AU Airacobra 1,
AU Alberton 1,
AO PC--AUD144,
AO PC--AUD169,
AO PC--AUD187,
BB PC--CON001,
BB PC--CON003,
BB PC--CON006,
BB PC--CON007,
BB PC--CON008,
BB PC--CON009,
BB PC--CON010,
BB PC--CON012,
BB PC--CON016,
BB PC--CON017,
BB PC--CON019,
BB PC--CON020,
BB PC--CON021,
BB PC--CON025,
BB PC--CON026,
BB PC--CON028,
BB PC--CON034,
BB PC--CON036,
BB PC--CON038,
BB PC--CON041,
BB PC--CON043,
BB PC--CON044,
BB PC--CON045,
BB PC--CON046,
BB PC--CON049,
BB PC--CON052,
BB PC--CON055,
BB PC--CON061,
BB PC--CON064,
BB PC--CON072,
NG PC--NUW002A,
NG PC--NUW002B,
NG PC--NUW010,
NG PC--NUW016,
NG PC--NUW019,
NG PC--NUW024,
NG PC--NUW093,
NG PC--NUW121,
NG PC--NUW127,
NG PC--NUW130,
TT PC--TRD003,
TT PC--TRD012,
TT PC--TRD021A,
TT PC--TRD022,
TT PC--TRD035,
TT PC--TRD038A,
AR WEST CERRO MULICHINCO2,
AR WEST CERRO MULICHINCO3,
AR WEST OF CERRO CANDELERO1,
AR WEST OF CERRO CANDELERO2,
AR X-1001,
AR Zampal 4,
AT Aderklaa 058,
AT GEOMAUT-000001,
AT GEOMAUT-000002,
AT GEOMAUT-000004,
AT Gaiselberg 05,
AT Gaiselberg 07,
AT Gaiselberg 20,
